28191		1827		18660		30824		31217		
14791		3813		27608		12678		13976		
8706		14611		19558		7054		6817		
32754		28623		10875		24220		19709		
31741		28992		30879		9020		16041		
16961		32465		22603		11984		4374		
19638		30381		5557		1924		5204		
6754		18729		26283		2708		31676		
23306		2176		13036		7278		25098		
5502		3643		19174		16305		17049		
12532		28637		1958		11124		1151		
23084		27690		7379		14300		31969		
21477		25427		9098		21394		31973		
29273		9383		24817		20708		30536		
13144		31649		20169		11511		14443		
23880		11634		866		26171		10214		
7089		28575		6356		21861		16788		
30740		344		17777		26346		20712		
8354		23945		25346		7351		21800		
28502		14774		9610		22844		2472		
8710		1529		5424		12236		23267		
11720		10697		17447		17568		9322		
12697		21462		24949		9860		27837		
31825		32650		5618		4275		19441		
10086		32361		19052		2992		20138		
19802		9890		22065		8959		16665		
21612		8192		333		21310		30224		
5402		27950		8780		29720		28592		
7330		7824		1704		11304		27652		
32332		26894		15973		20028		15637		
27547		11336		3383		10874		22449		
12662		28308		19430		23070		20572		
4256		5576		26536		29809		4997		
16368		20457		2491		25278		14652		
29278		11669		13006		32373		18874		
23727		1842		22644		16768		16982		
21652		17801		2512		3318		4929		
4637		23937		27613		21981		25749		
28273		6721		14422		16506		27673		
7045		15126		17623		22629		3256		
24189		10723		7874		12127		4750		
16864		8568		4468		20200		323		
12602		30382		26360		21013		8955		
26371		28270		13977		30724		1644		
16877		32559		19524		6632		2055		
6008		32487		24003		15976		11963		
18730		4376		10065		16264		14189		
23189		11081		15003		14473		27262		
783		22786		14181		32244		15826		
22915		29380		10104		30628		11576		
1889		171		21549		22396		24638		
10583		4508		1291		313		14259		
18403		7780		24544		32227		10276		
22898		16006		18623		20582		3692		
15767		31701		1933		21498		5928		
11953		30089		9881		14546		12124		
11213		8000		12225		3618		4611		
32068		6920		5784		2814		1913		
6199		23006		26096		2202		24112		
11810		28637		27370		31286		18277		
14671		14108		25415		19842		25676		
31344		22444		4972		3717		22560		
14542		21431		11216		18938		22859		
5722		25816		21582		29001		9139		
19987		12554		11531		10443		2805		
13860		2498		28892		12644		31544		
